Solvent,Data1,Data2,Data3,Data4,Data5
DMSO,45.1,0.83,1,0.072,0.647
DMSO,45.1,0.83,1,0.072,0.647
DMSO,45.1,0.83,1,0.072,0.647
DMSO,45.1,0.83,1,0.072,0.647
DMSO,45.1,0.83,1,0.072,0.647
DMSO,45.1,0.83,1,0.072,0.647
DMSO,45.1,0.83,1,0.072,0.647
CH2Cl2,40.7,0.761,0.769,0.04,0.178
THF,37.4,0.714,0.634,0,0.591
DMSO,45.1,0.83,1,0.072,0.647
Acetone,42.2,0.651,0.907,0,0.475
MeCN,45.6,0.645,0.974,0.044,0.286
MeCN,45.6,0.645,0.974,0.044,0.286
MeCN,45.6,0.645,0.974,0.044,0.286
Hexane,31,0.616,0,0,0.056
MeCN,45.6,0.645,0.974,0.044,0.286
Ethyl acetate,38.1,0.656,0.603,0,0.542
CHCl3,39.1,0.783,0.614,0.047,0.071
Toluene,33.9,0.782,0.284,0,0.128
THF,37.4,0.714,0.634,0,0.591
CH2Cl2,40.7,0.761,0.769,0.04,0.178
DMF,43.2,0.759,0.977,0.031,0.613
DMSO,45.1,0.83,1,0.072,0.647
Hexane,31,0.616,0,0,0.056
MeCN,45.6,0.645,0.974,0.044,0.286
Ethyl acetate,38.1,0.656,0.603,0,0.542
CHCl3,39.1,0.783,0.614,0.047,0.071
Toluene,33.9,0.782,0.284,0,0.128
THF,37.4,0.714,0.634,0,0.591
CH2Cl2,40.7,0.761,0.769,0.04,0.178
DMF,43.2,0.759,0.977,0.031,0.613
DMSO,45.1,0.83,1,0.072,0.647
Hexane,31,0.616,0,0,0.056
MeCN,45.6,0.645,0.974,0.044,0.286
Ethyl acetate,38.1,0.656,0.603,0,0.542
CHCl3,39.1,0.783,0.614,0.047,0.071
Toluene,33.9,0.782,0.284,0,0.128
THF,37.4,0.714,0.634,0,0.591
CH2Cl2,40.7,0.761,0.769,0.04,0.178
DMF,43.2,0.759,0.977,0.031,0.613
DMSO,45.1,0.83,1,0.072,0.647
DMSO,45.1,0.83,1,0.072,0.647
MeOH,55.4,0.608,0.904,0.605,0.545
DMSO,45.1,0.83,1,0.072,0.647
DMSO,45.1,0.83,1,0.072,0.647
MeOH,55.4,0.608,0.904,0.605,0.545
DMSO,45.1,0.83,1,0.072,0.647
EtOH,51.9,0.633,0.783,0.4,0.658
EtOH,51.9,0.633,0.783,0.4,0.658
CHCl3,39.1,0.783,0.614,0.047,0.071
CHCl3,39.1,0.783,0.614,0.047,0.071
CHCl3,39.1,0.783,0.614,0.047,0.071
CHCl3,39.1,0.783,0.614,0.047,0.071
DMSO,45.1,0.83,1,0.072,0.647
DMSO,45.1,0.83,1,0.072,0.647
DMSO,45.1,0.83,1,0.072,0.647
DMSO,45.1,0.83,1,0.072,0.647
H2O,63.1,0.681,0.997,1.062,0.025
H2O,63.1,0.681,0.997,1.062,0.025
H2O,63.1,0.681,0.997,1.062,0.025
H2O,63.1,0.681,0.997,1.062,0.025
H2O,63.1,0.681,0.997,1.062,0.025
H2O,63.1,0.681,0.997,1.062,0.025
DMSO,45.1,0.83,1,0.072,0.647
DMSO,45.1,0.83,1,0.072,0.647
DMSO,45.1,0.83,1,0.072,0.647
DMSO,45.1,0.83,1,0.072,0.647
DMSO,45.1,0.83,1,0.072,0.647
DMSO,45.1,0.83,1,0.072,0.647
EtOH,51.9,0.633,0.783,0.4,0.658
EtOH,51.9,0.633,0.783,0.4,0.658
EtOH,51.9,0.633,0.783,0.4,0.658
Toluene,33.9,0.782,0.284,0,0.128
CH2Cl2,40.7,0.761,0.769,0.04,0.178
DMSO,45.1,0.83,1,0.072,0.647
H2O,63.1,0.681,0.997,1.062,0.025
H2O,63.1,0.681,0.997,1.062,0.025
H2O,63.1,0.681,0.997,1.062,0.025
Toluene,33.9,0.782,0.284,0,0.128
CH2Cl2,40.7,0.761,0.769,0.04,0.178
Acetone,42.2,0.651,0.907,0,0.475
MeOH,55.4,0.608,0.904,0.605,0.545
Toluene,33.9,0.782,0.284,0,0.128
CH2Cl2,40.7,0.761,0.769,0.04,0.178
Acetone,42.2,0.651,0.907,0,0.475
MeOH,55.4,0.608,0.904,0.605,0.545
Toluene,33.9,0.782,0.284,0,0.128
CH2Cl2,40.7,0.761,0.769,0.04,0.178
Acetone,42.2,0.651,0.907,0,0.475
